timestamp,open,high,low,close,volume
1768953600,3250.0,3269.58,3236.4,3241.9,4814.71
1768953900,3241.9,3255.57,3241.29,3249.05,1359.51
1768954200,3249.05,3249.05,3222.79,3244.71,3168.26
1768954500,3244.71,3244.71,3200.92,3210.18,4045.01
1768954800,3210.18,3217.5,3181.99,3181.99,665.95
1768955100,3181.99,3208.39,3181.0,3208.39,4071.64
1768955400,3208.39,3208.39,3189.36,3192.87,4151.85
1768955700,3192.87,3210.28,3192.76,3192.76,2009.77
1768956000,3192.76,3203.65,3185.54,3203.65,3255.99
1768956300,3203.65,3205.78,3177.16,3182.95,3976.54
1768956600,3182.95,3182.95,3153.82,3169.1,4776.35
1768956900,3169.1,3169.1,3146.89,3155.02,2928.76
1768957200,3155.02,3175.25,3149.48,3150.11,3515.65
1768957500,3150.11,3170.64,3150.11,3153.53,1291.5
1768957800,3153.53,3166.99,3148.06,3151.47,4005.4
1768958100,3151.47,3152.71,3131.95,3133.77,4675.5
1768958400,3133.77,3143.68,3119.55,3120.84,1114.26
1768958700,3120.84,3133.66,3116.32,3116.32,4865.62
1768959000,3116.32,3125.51,3109.84,3109.84,1609.95
1768959300,3109.84,3152.7,3106.03,3152.7,3958.74
1768959600,3152.7,3168.55,3148.98,3168.55,4774.72
1768959900,3168.55,3176.07,3150.56,3150.56,2546.79
1768960200,3150.56,3152.33,3119.4,3137.04,1998.09
1768960500,3137.04,3158.1,3137.04,3142.98,746.66
1768960800,3142.98,3151.86,3142.98,3147.13,3692.04
1768961100,3147.13,3172.55,3138.05,3150.72,1514.48
1768961400,3150.72,3159.62,3144.92,3159.62,3552.42
1768961700,3159.62,3159.62,3137.46,3146.76,860.77
1768962000,3146.76,3158.0,3135.55,3135.55,1819.28
1768962300,3135.55,3149.99,3135.55,3146.14,4763.58
1768962600,3146.14,3146.14,3122.92,3124.72,1093.81
1768962900,3124.72,3144.65,3121.52,3142.06,4658.66
1768963200,3142.06,3147.69,3133.71,3146.88,1069.15
1768963500,3146.88,3158.94,3145.95,3158.94,4642.04
1768963800,3158.94,3167.13,3143.89,3152.48,2632.66
1768964100,3152.48,3187.85,3148.74,3170.65,4550.9
1768964400,3170.65,3189.46,3170.65,3174.78,1499.69
1768964700,3174.78,3198.35,3174.78,3198.35,3222.95
1768965000,3198.35,3211.47,3195.5,3209.66,4434.51
1768965300,3209.66,3223.93,3186.35,3192.6,1128.1
1768965600,3192.6,3218.04,3188.89,3215.28,2342.68
1768965900,3215.28,3221.0,3201.26,3207.11,4218.33
1768966200,3207.11,3214.78,3195.18,3208.5,3442.35
1768966500,3208.5,3234.49,3199.77,3234.49,3114.99
1768966800,3234.49,3234.49,3192.87,3192.87,763.35
1768967100,3192.87,3217.93,3187.32,3217.93,4713.79
1768967400,3217.93,3217.93,3194.52,3194.52,3584.8
1768967700,3194.52,3194.52,3174.69,3187.36,960.97
1768968000,3187.36,3211.43,3171.83,3171.83,1012.96
1768968300,3171.83,3176.05,3150.72,3160.68,3936.62
1768968600,3160.68,3202.89,3155.25,3202.89,853.84
1768968900,3202.89,3217.52,3188.39,3215.1,1035.3
1768969200,3215.1,3217.44,3191.55,3216.44,908.66
1768969500,3216.44,3226.69,3212.46,3217.38,3102.17
1768969800,3217.38,3242.56,3217.38,3242.56,3685.65
1768970100,3242.56,3245.51,3228.05,3245.51,4931.86
1768970400,3245.51,3269.8,3245.51,3269.8,3202.55
1768970700,3269.8,3291.03,3263.0,3284.74,3557.07
1768971000,3284.74,3316.76,3284.74,3311.49,958.04
1768971300,3311.49,3354.93,3311.49,3345.75,1753.92
1768971600,3345.75,3345.75,3321.59,3325.9,1755.66
1768971900,3325.9,3342.08,3323.05,3342.08,4876.34
1768972200,3342.08,3358.15,3334.61,3343.51,3481.0
1768972500,3343.51,3343.51,3321.66,3332.22,1916.48
1768972800,3332.22,3346.71,3326.94,3346.71,2695.04
1768973100,3346.71,3360.83,3328.99,3333.89,4871.89
1768973400,3333.89,3335.58,3325.09,3328.64,4514.07
1768973700,3328.64,3342.94,3322.62,3322.62,795.34
1768974000,3322.62,3332.82,3303.11,3313.24,3148.51
1768974300,3313.24,3319.67,3296.57,3296.57,2029.74
1768974600,3296.57,3296.57,3277.8,3279.79,4987.91
1768974900,3279.79,3279.79,3270.94,3270.94,1445.38
1768975200,3270.94,3276.12,3260.73,3265.94,3940.13
1768975500,3265.94,3267.62,3238.19,3241.3,2900.98
1768975800,3241.3,3241.3,3207.95,3224.33,1853.86
1768976100,3224.33,3232.95,3219.14,3232.95,2330.0
1768976400,3232.95,3251.38,3232.95,3244.75,1115.82
1768976700,3244.75,3260.28,3244.13,3245.3,3213.13
1768977000,3245.3,3254.66,3238.65,3249.2,3812.84
1768977300,3249.2,3266.24,3246.72,3266.24,1986.15
1768977600,3266.24,3274.17,3249.31,3271.37,3160.23
1768977900,3271.37,3280.5,3260.22,3278.09,3730.25
1768978200,3278.09,3290.82,3277.45,3283.6,2995.78
1768978500,3283.6,3317.53,3277.57,3313.96,4916.15
1768978800,3313.96,3343.06,3313.86,3335.21,2336.14
1768979100,3335.21,3358.18,3335.11,3335.26,4225.21
1768979400,3335.26,3335.26,3319.69,3332.19,3348.96
1768979700,3332.19,3352.35,3321.99,3349.95,3951.2
1768980000,3349.95,3355.77,3332.44,3338.25,1400.5
1768980300,3338.25,3351.59,3333.55,3333.55,4604.01
1768980600,3333.55,3337.92,3322.18,3334.06,1033.72
1768980900,3334.06,3334.06,3317.41,3317.41,1806.49
1768981200,3317.41,3319.57,3305.35,3307.37,1817.46
1768981500,3307.37,3321.13,3306.68,3316.26,3615.74
1768981800,3316.26,3321.9,3298.22,3309.64,4762.34
1768982100,3309.64,3328.18,3309.64,3328.18,3042.4
1768982400,3328.18,3328.18,3302.16,3314.19,704.82
1768982700,3314.19,3338.81,3314.19,3326.96,1926.46
1768983000,3326.96,3357.0,3326.96,3345.17,1549.88
1768983300,3345.17,3364.99,3342.5,3355.5,2748.01
1768983600,3355.5,3378.74,3351.98,3378.74,3172.21
1768983900,3378.74,3378.74,3334.2,3334.34,3610.71
1768984200,3334.34,3334.34,3301.6,3308.45,4863.15
1768984500,3308.45,3320.69,3306.9,3312.89,1472.16
1768984800,3312.89,3370.48,3312.89,3370.48,4463.04
1768985100,3370.48,3413.44,3370.48,3401.75,4197.27
1768985400,3401.75,3425.77,3396.62,3397.89,2446.63
1768985700,3397.89,3398.38,3370.73,3388.81,1220.64
1768986000,3388.81,3388.81,3359.48,3382.35,4374.29
1768986300,3382.35,3383.22,3369.77,3369.77,1675.93
1768986600,3369.77,3390.89,3363.17,3390.89,1882.19
1768986900,3390.89,3398.1,3366.07,3398.1,3298.1
1768987200,3398.1,3406.01,3392.58,3393.0,3293.4
1768987500,3393.0,3393.0,3371.05,3376.11,1031.91
1768987800,3376.11,3398.65,3372.52,3373.03,1909.81
1768988100,3373.03,3397.89,3365.57,3390.92,1450.95
1768988400,3390.92,3390.92,3359.79,3361.22,3096.11
1768988700,3361.22,3366.74,3330.49,3330.49,2485.64
1768989000,3330.49,3337.11,3325.09,3328.01,1864.91
1768989300,3328.01,3346.17,3319.98,3319.98,1894.34
1768989600,3319.98,3319.98,3267.35,3267.35,4038.69
1768989900,3267.35,3291.25,3262.66,3291.25,608.18
1768990200,3291.25,3318.13,3291.25,3313.37,1581.47
1768990500,3313.37,3333.73,3313.07,3322.89,3867.32
1768990800,3322.89,3329.27,3305.22,3312.84,726.19
1768991100,3312.84,3336.02,3312.84,3325.09,3607.28
1768991400,3325.09,3335.31,3314.83,3335.31,936.98
1768991700,3335.31,3352.53,3327.52,3345.96,2491.33
1768992000,3345.96,3352.07,3332.28,3351.08,2045.6
1768992300,3351.08,3369.34,3341.55,3341.55,3717.82
1768992600,3341.55,3341.55,3310.36,3315.96,3089.77
1768992900,3315.96,3324.99,3288.57,3289.83,2502.63
1768993200,3289.83,3322.85,3289.83,3322.85,3229.58
1768993500,3322.85,3322.85,3296.25,3296.25,1083.58
1768993800,3296.25,3315.59,3295.76,3307.72,5372.35
1768994100,3307.72,3314.49,3255.03,3266.17,4072.64
1768994400,3266.17,3266.17,3242.69,3261.73,4652.41
1768994700,3261.73,3270.59,3244.71,3244.71,1864.07
1768995000,3244.71,3244.71,3211.69,3226.02,1201.47
1768995300,3226.02,3226.02,3205.84,3216.99,2608.47
1768995600,3216.99,3239.49,3216.99,3236.03,3533.56
1768995900,3236.03,3263.33,3236.03,3258.39,3466.77
1768996200,3258.39,3258.39,3210.0,3211.71,2852.62
1768996500,3211.71,3215.52,3197.42,3211.78,4335.16
1768996800,3211.78,3211.78,3167.22,3167.22,3754.63
1768997100,3167.22,3170.3,3145.67,3170.3,4643.62
1768997400,3170.3,3185.78,3170.3,3175.63,2850.1
1768997700,3175.63,3185.29,3164.8,3185.29,2184.89
1768998000,3185.29,3185.29,3173.28,3176.21,2558.34
1768998300,3176.21,3188.17,3171.83,3175.01,3045.02
1768998600,3175.01,3187.54,3168.93,3187.54,4766.16
1768998900,3187.54,3226.74,3185.36,3218.89,2860.66
